Company,Valuation (B),Date Joined,Country,CityÂ ,First Category Industry,Second Category Industry,Third Category Industry,First Category Investor,Second Category Investor,Third Category Investor,Fourth Category Investor
Kavak,$8.70,2020-01-10,Mexico,Lerma de Villada,E-commerce, direct-to-consumer,NULL,DST Global, SoftBank Group, Mountain Nazca,NULL
Snyk,$8.60,2020-01-21,US,Boston,Cybersecurity,NULL,NULL,BOLDstart Ventures, Google Ventures, Accel,NULL
Nuro,$8.60,2019-11-02,US,Mountain View,Auto, transportation,NULL,SoftBank Group, Greylock Partners, Gaorong Capital,NULL
Chainalysis,$8.60,2020-11-23,US,New York,Fintech,NULL,NULL,Addition, Benhcmark, Accel,NULL
Pony.ai,$8.50,2018-11-07,US,Fremont,Artificial intelligence,NULL,NULL,Sequoia Capital China, IDG Capital, DCM Ventures,NULL
Personio,$8.50,2021-01-19,Germany,Munich,Internet software, services,NULL,Global Founders Capital, Nortzone Ventures, Picus Capital,NULL
SumUp,$8.50,2019-07-16,UK,London,Fintech,NULL,NULL,American Express Ventures, Goldman Sachs, Bain Capital Credit,NULL
Bolt,$8.40,2018-05-29,Estonia,Tallinn,Auto, transportation,NULL,Didi Chuxing, Diamler, TMT Investments,NULL
Lacework,$8.30,2021-07-01,US,San Jose,Cybersecurity,NULL,NULL,Sutter Hill Ventures, Liberty Global Ventures, Coatue Management,NULL
Tipalti,$8.30,2020-06-10,US,San Mateo,Fintech,NULL,NULL,01 Advisors, Zeev Ventures, Group 11,NULL
Tempus,$8.10,2018-03-21,US,Chicago,Health,NULL,NULL,New Enterprise Associates, T. Rowe Associates, Lightbank,NULL
Ramp,$8.10,2021-03-29,US,New York,Fintech,NULL,NULL,D1 Capital Partners, Stripe, Coatue Management,NULL
Dream11,$8.00,2019-09-04,India,Mumbai,Internet software, services,NULL,Kaalari Capital, Tencent Holdings, Steadview Capital,NULL
Fireblocks,$8.00,2021-07-27,US,New York,Fintech,NULL,NULL,Tenaya Capital, Coatue Management, Stripes Group,NULL
Flexport,$8.00,2018-04-30,US,San Francisco,Supply chain, logistics, delivery,Bloomberg Beta, Founders Fund, First Round Capital,NULL
FalconX,$8.00,2021-10-08,US,San Mateo,Fintech,NULL,NULL,Tiger Global Management, American Express Ventures, B Capital Group,NULL
Caris Life Sciences,$7.83,2021-12-05,US,Irving,Health,NULL,NULL,Sixth Street Partners, OrbiMed Advisors, Highland Capital Management,NULL
Dapper Labs,$7.60,2021-03-30,Canada,Vancouver,Internet software, services,NULL,Union Square Ventures, Venrock, Andreessen Horowitz,NULL
Hopin,$7.75,2020-10-11,UK,London,Internet software, services,NULL,Accel, Northzone Ventures, Institutional Venture Partners,NULL
Netskope,$7.50,2018-11-13,US,Santa Clara,Cybersecurity,NULL,NULL,Lightspeed Venture Partners, Social Capital, Accel,NULL
Razorpay,$7.50,2020-11-10,India,Bengaluru,Fintech,NULL,NULL,Sequoia Capital India, Tiger Global Management, Matrix Partners India,NULL
Automattic,$7.50,2013-05-27,US,San Francisco,Internet software, services,NULL,Insight Venture Partners, Lowercase Capital, Polaris Partners,NULL
Carta,$7.40,2019-06-05,US,San Francisco,Fintech,NULL,NULL,Menlo Ventures, Spark Capital, Union Square Ventures,NULL
Scale AI,$7.30,2019-05-08,US,San Francisco,Artificial intelligence,NULL,NULL,Accel, Y Combinator, Index Ventures,NULL
Argo AI,$7.25,2019-12-07,US,Pittsburgh,Auto, transportation,NULL,Volkswagen Group, Ford Autonomous Vehicles,NULL,NULL
Gong,$7.25,2020-12-08,US,Palo Alto,Artificial intelligence,NULL,NULL,Norwest Venture Partners, Next World Capital, Wing Venture Capital,NULL
TripActions,$7.25,2018-08-11,US,Palo Alto,Travel,NULL,NULL,Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures,NULL
Gemini,$7.10,2021-11-19,US,New York,Fintech,NULL,NULL,Morgan Creek Digital, Marcy Venture Partners, 10T Fund,NULL
We Doctor,$7.00,2015-09-22,China,Hangzhou,Health,NULL,NULL,Tencent, Morningside Group,NULL,NULL
Ro,$7.00,2020-07-27,US,New York,Health,NULL,NULL,Initialized Capital, General Catalyst, SignalFire,NULL
ConsenSys,$7.00,2021-11-17,US,New York,Fintech,NULL,NULL,Third Point, Electric Capital, Coinbase Ventures,NULL
Automation Anywhere,$6.80,2018-02-07,US,San Jose,Artificial intelligence,NULL,NULL,General Atlantic, Goldman Sachs, New Enterprise Associates,NULL
1Password,$6.80,2021-08-07,Canada,Toronto,Cybersecurity,NULL,NULL,Slack Fund, Accel, Skip Capital,NULL
Klarna,$6.70,2011-12-12,Sweden,Stockholm,Fintech,NULL,NULL,Institutional Venture Partners, Sequoia Capital, General Atlantic,NULL
Ziroom,$6.60,2018-01-17,China,Beijing,E-commerce, direct-to-consumer,NULL,Sequoia Capital China, Warburg Pincus, General Catalyst,NULL
SVOLT,$6.51,2020-08-06,China,Changzhou,Auto, transportation,NULL,IDG Capital, Bank Of China Group Investment,NULL, SDIC CMC Investment Management
National Stock Exchange of India,$6.50,2020-01-07,India,Mumbai,Fintech,NULL,NULL,TA Associates, SoftBank Group, GS Growth,NULL
Mollie,$6.50,2020-08-09,Netherlands,Amsterdam,Fintech,NULL,NULL,Technology Crossover Ventures,NULL,NULL,NULL
Ola Cabs,$7.50,2014-10-27,India,Bengaluru,Auto, transportation,NULL,Accel Partners, SoftBank Group, Sequoia Capital,NULL
Doctolib,$6.40,2019-03-19,France,Paris,Health,NULL,NULL,BPI France, Kerala Ventures, Accel,NULL
DataRobot,$6.30,2019-07-29,US,Boston,Artificial intelligence,NULL,NULL,New Enterprise Associates, Accomplice, IA Ventures,NULL
Upgrade,$6.28,2018-12-02,US,San Francisco,Fintech,NULL,NULL,Union Square Ventures, Ribbit Capital, VY Capital,NULL
Hinge Health,$6.20,2021-06-01,US,San Francisco,Health,NULL,NULL,Atomico, Insight Partners, Coatue Management,NULL
Black Unicorn Factory,$6.10,2021-05-20,US,Los Angeles,Other,NULL,NULL,Barter Ventures,NULL,NULL,NULL
Benchling,$6.10,2021-04-14,US,San Francisco,Internet software, services,NULL,Thrive Capital, Benchmark, MenloVentures,NULL
Royole Corporation,$6.00,2015-08-18,China,Shenzhen,Hardware,NULL,NULL,Warmsun Holding, IDG Capital Partners,NULL,NULL
Better.com,$6.00,2020-10-11,US,New York,Fintech,NULL,NULL,Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers,NULL
Wiz,$6.00,2021-03-17,Israel,Tel Aviv,Cybersecurity,NULL,NULL,Insight Partners, Sequoia Capital, Index Ventures,NULL
iCapital Network,$6.00,2021-07-27,US,New York,Fintech,NULL,NULL,BlackRock, Blackstone, UBS,NULL
6Sense,$5.20,2021-03-30,US,San Francisco,Artificial intelligence,NULL,NULL,Venrock, Battery Ventures, Insight Partners,NULL
Attentive,$5.99,2020-09-23,US,Hoboken,Mobile, telecommunications,NULL,NextView Ventures, Eniac Ventures, Sequoia Capital,NULL
Easyhome,$5.78,2018-12-02,China,Beijing,Consumer, retail,NULL,Alibaba Group, Boyu Capital, Borui Capital,NULL
Lianjia,$5.77,2016-07-04,China,Beijing,E-commerce, direct-to-consumer,NULL,Tencent, Baidu, Huasheng Capital,NULL
Vice Media,$5.70,2011-02-04,US,Brooklyn,Internet software, services,NULL,Technology Crossover Ventures, A&E Television Networks,NULL,NULL
Cityblock Health,$5.70,2020-10-12,US,Brooklyn,Health,NULL,NULL,Thrive Capital, Maverick Ventures, Redpoint Ventures,NULL
Workato,$5.70,2021-12-01,US,Mountain View,Internet software, services,NULL,Battery Ventures, Storm Ventures, Redpoint Ventures,NULL
Back Market,$5.70,2021-05-18,France,Paris,E-commerce, direct-to-consumer,NULL,Aglae Ventures, Eurazeo, Daphni,NULL
RELEX,$5.70,2022-02-17,Finland,Helsinki,Supply chain, logistics, delivery,Blackstone, Technology Crossover Ventures, Summit Partners,NULL
The Boring Company,$5.70,2022-04-20,US,Pflugerville,Other,NULL,NULL,VY Capital, 8VC, Craft Ventures,NULL
Postman,$5.60,2020-11-06,US,San Francisco,Internet software, services,NULL,Nexus Venture Partners, CRV, Insight Partners,NULL
FiveTran,$5.60,2020-06-30,US,Oakland,Data management, analytics,NULL,Matrix Partners, Andreessen Horowitz, General Catalyst,NULL
ContentSquare,$5.60,2021-05-25,France,Paris,Internet software, services,NULL,Highland Europe, Eurazeo, Canaan Partners,NULL
Trade Republic,$5.36,2021-05-20,Germany,Berlin,Fintech,NULL,NULL,Founders Fund. Accel, Creandum,NULL,NULL
Rappi,$5.25,2018-08-31,Colombia,Bogota,Supply chain, logistics, delivery,DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures
Collibra,$5.25,2019-01-29,Belgium,Brussels,Data management, analytics,NULL,Index Ventures, Battery Ventures, ICONIQ Capital,NULL
OneTrust,$5.10,2019-11-07,US,Atlanta,Internet software, services,NULL,Insight Partners,NULL,NULL,NULL
QuintoAndar,$5.10,2019-09-09,Brazil,Campinas,E-commerce, direct-to-consumer,NULL,Kaszek Ventures, General Atlantic, SoftBank Group,NULL
C6 Bank,$5.05,2020-02-12,Brazil,Sao Paulo,Fintech,NULL,NULL,Credit Suisse,NULL,NULL,NULL
United Imaging Healthcare,$5.00,2017-09-15,China,Shanghai,Health,NULL,NULL,China Life Insurance, China Development Bank Capital, CITIC Securities International,NULL
Hello TransTech,$5.00,2018-01-06,China,Shanghai,Auto, transportation,NULL,Ant Financial Services Group, GGV Capital,NULL,NULL
Airwallex,$5.50,2019-03-25,Australia,Melbourne,Fintech,NULL,NULL,DST Global, Sequoia Capital China, Tencent Holdings,NULL
Mambu,$5.50,2021-06-01,Netherlands,Amsterdam,Fintech,NULL,NULL,Runa Capital, Acton Capital Partners, Point Nine Capital,NULL
Toss,$5.48,2018-09-12,South Korea,Seoul,Fintech,NULL,NULL,Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers,NULL
Horizon Robotics,$5.00,2019-02-27,China,Beijing,Artificial intelligence,NULL,NULL,Hillhouse Capital Management, Linear Venture, Morningside Venture Capital,NULL
WM Motor,$5.00,2019-08-03,China,Shanghai,Auto, transportation,NULL,Baidu Capital, Linear Venture, Tencent,NULL
Howden Group Holdings,$5.00,2020-09-29,UK,London,Other,NULL,NULL,General Atlantic, 3i Group, Huagai Capital,NULL
SambaNova Systems,$5.00,2021-04-13,US,Palo Alto,Data management, analytics,NULL,Walden International, Google Ventures, Intel Capital,NULL
ZEPZ,$5.00,2021-08-23,UK,London,Fintech,NULL,NULL,Accel, Technology Crossover Ventures, LeapFrog Investments,NULL
OakNorth Bank,$5.00,2017-12-10,UK,London,Fintech,NULL,NULL,Clermont Group, Coltrane Asset Management, Toscafund Asset Management,NULL
Moon Active,$5.00,2020-01-26,Israel,Tel Aviv,Mobile, telecommunications,NULL,Insight Partners, Andalusian Capital Partners,NULL,NULL
OfBusiness,$5.00,2021-07-31,India,Gurgaon,E-commerce, direct-to-consumer,NULL,Matrix Partners India, Falcon Edge Capital, SoftBank Group,NULL
Cockroach Labs,$5.00,2021-12-01,US,New York,Data management, analytics,NULL,Google Ventures, Benchmark, FirstMark Capital,NULL
Pine Labs,$5.00,2020-01-24,India,Noida,Fintech,NULL,NULL,Sequoia Capital India, Temasek, PayPal Ventures,NULL
Qonto,$5.00,2022-11-01,France,Paris,Fintech,NULL,NULL,Alven Capital, Valar Ventures, Tencent Holdings,NULL
Ola Electric Mobility,$5.00,2019-02-07,India,Bengaluru,Auto, transportation,NULL,SoftBank Group, Tiger Global Management, Matrix Partners India,NULL
Icertis,$5.00,2019-07-17,US,Bellevue,Artificial intelligence,NULL,NULL,Eight Roads Ventures, Greycroft, Ignition Partners,NULL
Hopper,$5.00,2021-03-24,Canada,Montreal,Travel,NULL,NULL,Capital One Growth Ventures, Citi Ventures, OMERS Ventures,NULL
VerSe Innovation(Dailyhunt),$5.00,2020-12-22,India,Bengaluru,Internet software, services,NULL,Falcon Edge Capital, Omidyar Network, Sequoia Capital India,NULL
ShareChat,$5.00,2021-08-04,India,Bengaluru,Internet software, services,NULL,India Quotient, Elevation Capital, Lightspeed Venture Partners,NULL
Coalition,$5.00,2021-03-17,US,San Francisco,Cybersecurity,NULL,NULL,Two Sigma Ventures, Flint Capital, Commerce Ventures,NULL
Meesho,$4.90,2021-05-04,India,Bengaluru,Internet software, services,NULL,Venture Highway, Sequoia Capital India, Prosus Ventures,NULL
Cerebral,$4.80,2021-10-06,US,San Francisco,Health,NULL,NULL,Oak HC/FT Partners, Artis Ventures, WestCap Group,NULL
Creditas,$4.80,2020-12-18,Brazil,Sao Paulo,Fintech,NULL,NULL,Kaszek Ventures, Amadeus Capital Partners, Quona Capital,NULL
Reify Health,$4.80,2021-10-08,US,Boston,Health,NULL,NULL,Sierra Ventures, Battery Ventures, Asset Management Ventures,NULL
Chipone,$4.73,2021-12-16,China,Beijing,Hardware,NULL,NULL,China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment,NULL
BetterUp,$4.70,2021-02-25,US,San Francisco,Internet software, services,NULL,Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital,NULL
Pleo,$4.70,2021-06-07,Denmark,Copenhagen,Fintech,NULL,NULL,Creandum, Founders, Kinnevik,NULL
SonarSource,$4.70,2022-04-26,Switzerland,Geneva,Internet software, services,NULL,Advent International,General Catalyst,Insight Partners,NULL
Anduril,$4.60,2019-11-09,US,Irvine,Artificial intelligence,NULL,NULL,Andreessen Horowitz, Founders Fund, Revolution Ventures,NULL
Lyra Health,$5.85,2020-08-25,US,Burlingame,Health,NULL,NULL,Greylock Partners, Venrock, Providence Ventures,NULL
Dataiku,$4.60,2019-04-12,US,New York,Artificial intelligence,NULL,NULL,Alven Capital, FirstMark Capital, capitalG,NULL
Checkr,$4.60,2019-09-19,US,San Francisco,Internet software, services,NULL,Y Combinator, Accel, T. Rowe Price,NULL
Color,$4.60,2021-04-01,US,Burlingame,Health,NULL,NULL,General Catalyst, Viking Global Investors, T. Rowe Price,NULL
Lendable,$4.58,2021-03-31,UK,London,Fintech,NULL,NULL,Ontario Teachers' Pension Plan, Goldman Sachs,NULL,NULL
Vinted,$4.53,2019-11-27,Lithuania,Vilnius,E-commerce, direct-to-consumer,NULL,Accel, Insight Partners, Burda Principal Investments,NULL
VIPKid,$4.50,2016-04-08,China,Beijing,Edtech,NULL,NULL,Sequoia Capital China, Tencent Holdings, Sinovation Ventures,NULL
Socure,$4.50,2021-03-16,US,New York,Cybersecurity,NULL,NULL,Two Sigma Ventures, Flint Capital, Commerce Ventures,NULL
Monzo,$4.50,2018-10-31,UK,London,Fintech,NULL,NULL,Passion Capital, Thrive Capital, Orange Digital Ventures,NULL
UBTECH Robotics,$4.58,2016-07-25,China,Shenzhen,Hardware,NULL,NULL,CDH Investments, Goldstone Investments, Qiming Venture Partners,NULL
wefox,$4.50,2019-05-03,Germany,Berlin,Fintech,NULL,NULL,Salesforce Ventures, Seedcamp, OMERS Ventures,NULL
Lenskart,$4.50,2019-12-20,India,Faridabad,E-commerce, direct-to-consumer,NULL,Chiratae Ventures, PremjiInvest, Softbank,NULL
Zhiji Auto,$4.50,2022-01-08,China,Shanghai,Auto, transportation,NULL,Pudong VC, Zhiyou Venture Capital,NULL,NULL
Outreach,$4.40,2019-04-16,US,Seattle,Internet software, services,NULL,Mayfield Fund, M12, Trinity Ventures,NULL
WeRide,$4.40,2020-12-23,China,Guangzhou,Auto, transportation,NULL,Atop Capital, IDInvest Partners, Qiming Venture Partners,NULL
Guild Education,$4.40,2019-11-13,US,Denver,Internet software, services,NULL,General Atlantic, Blackstone, ICONIQ Growth,NULL
Arctic Wolf Networks,$4.30,2020-10-22,US,Eden Prairie,Cybersecurity,NULL,NULL,Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors,NULL
Sorare,$4.30,2021-09-21,France,Paris,Internet software, services,NULL,Benchmark, Accel, SoftBank Group,NULL
Relativity Space,$4.20,2020-11-23,US,Inglewood,Other,NULL,NULL,Playground Global, Bond, Tribe Capital,NULL
Miaoshou Doctor,$4.25,2019-06-27,China,Beijing,E-commerce, direct-to-consumer,NULL,Sequoia Capital China, Qiming Venture Partners, Tencent Holdings,NULL
ThoughtSpot,$4.20,2018-08-05,US,Sunnyvale,Internet software, services,NULL,Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital,NULL
Globalization Partners,$4.20,2022-01-24,US,Boston,Internet software, services,NULL,Vista Equity Partners, Wincove, TDR Capital,NULL
dbt Labs,$4.20,2021-06-30,US,Philadelphia,Data management, analytics,NULL,Andreessen Horowitz, Amplify Partners, Sequoia Capital,NULL
SSENSE,$4.15,2021-08-06,Canada,Montreal,E-commerce, direct-to-consumer,NULL,Sequoia Capital,NULL,NULL,NULL
Dataminr,$4.10,2018-04-06,US,New York,Artificial intelligence,NULL,NULL,Venrock, Institutional Venture Partners, Goldman Sachs,NULL
BitPanda,$4.11,2021-03-16,Austria,Vienna,Fintech,NULL,NULL,Speedinvest, Valar Ventures, Uniqa Ventures,NULL
Weee!,$4.10,2021-03-16,US,Fremont,Supply chain, logistics, delivery,Goodwater Capital, iFly, XVC Venture Capital,NULL
Houzz,$4.00,2014-09-30,US,Palo Alto,E-commerce, direct-to-consumer,NULL,New Enterprise Associates, Sequoia Capital, Comcast Ventures,NULL
CRED,$4.01,2021-06-04,India,Bengaluru,Fintech,NULL,NULL,Tiger Global Management, DST Global, Sequoia Capital India,NULL
Yello Mobile,$4.00,2014-11-11,South Korea,Seoul,Mobile, telecommunications,NULL,Formation 8,NULL,NULL,NULL
MEGVII,$4.00,2017-10-31,China,Beijing,Artificial intelligence,NULL,NULL,Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company,NULL
Greensill,$4.00,2018-07-16,UK,London,Fintech,NULL,NULL,SoftBank Group, General Atlantic,NULL,NULL
Impossible Foods,$4.00,2019-05-13,US,Redwood City,Consumer, retail,NULL,Khosla Ventures, Horizons Ventures, Temasek Holdings,NULL
Radiology Partners,$4.00,2018-02-26,US,El Segundo,Health,NULL,NULL,New Enterprise Associates, Starr Investment Holdings,NULL,NULL
Next Insurance,$4.00,2019-07-10,US,Palo Alto,Fintech,NULL,NULL,Zeev Ventures, Ribbit Capital, TLV Partners,NULL
Patreon,$4.00,2020-02-09,US,San Francisco,Internet software, services,NULL,Index Ventures, Thrive Capital, CRV,NULL
PointClickCare,$4.00,2021-07-01,Canada,Mississauga,Internet software, services,NULL,Dragoneer Investment Group, Hellman & Friedman, JMI Equity,NULL
